sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,20,4,3,9,1.2884098726725126,0.0,16.849199663016005,310.5254844144903,18872.0
/style.css,20,4,3,7,1.0049875621120898,0.0,16.82085786375105,125.71291526492851,7653.0
/js/sorttable.js,20,4,3,10,1.6874537030686194,0.0,16.72240802675585,278.6469220317726,17063.0
/js/map.js,20,6,3,30,6.248799884777877,0.0,16.72240802675585,194.30001045150502,11898.0
/js/candidate.js,20,4,3,10,1.909842925478429,0.0,17.02127659574468,229.42154255319147,13802.0
/jquery-ui-1.8.13.custom.css,20,7,3,57,11.49565135170687,0.0,17.094017094017097,130.12486645299145,7795.0
/js/validate.js,20,5,3,29,5.435761216241935,0.0,17.25625539257981,650.395680543572,38595.0
/js/jquery-1.9.0.min.js,20,5,4,10,1.4525839046333948,0.0,17.574692442882252,1600.4984072934974,93254.0
/js/jquery.address-1.6.min.js,20,3,3,7,1.071214264281427,0.0,17.636684303350968,165.13723544973547,9588.0
/js/jquery-ui-1.8.13.js,20,9,5,61,11.9,0.0,17.605633802816904,3516.106404049296,204508.0
/js/menu.js,20,3,2,5,0.82915619758885,0.0,17.699115044247787,46.40832411504425,2685.0
/_ah/channel/jsapi,20,14308,9985,15527,1205.179588277201,0.0,1.2361703442734409,255.67238009147664,211790.0
/js/html5-canvas-bar-graph.js,20,3,2,8,1.1999999999999997,0.0,3.2273680813296757,18.557366467645636,5888.0
/_ah/channel/dev,2060,0,0,1,0.02202728408648238,1.0,3.849999532767047,6.749764047358731,1795.2621359223301
/en_US/all.js,20,21000,20993,21010,4.572745342419737,1.0,0.735564545788893,1.4704107668260389,2047.0
/connect/xd_arbiter.php,20,42005,41993,42017,6.958986978800734,1.0,0.41496358694524554,0.8303324117683673,2049.0
/StatisticsServlet,1200,6774,816,8337,638.81123367288,0.0,2.5161558171425695,1.1227690085088002,456.93333333333334
/CandidateServlet,140,6819,6543,8110,246.86661936176284,0.0,0.33522495989272805,0.21456642243133875,655.4285714285714
/GoogleSuggestServlet/*,20,6688,6561,6805,71.83181746275382,0.0,0.439126138983423,0.09906068174333077,231.0
/PartyServlet,20,6677,6615,6739,42.94703132927716,0.0,0.44114079008315504,0.36618131989324393,850.0
TOTAL,3740,2914,0,42017,4634.822363653059,0.5614973262032086,6.79742933581482,30.72289820395196,4628.256684491978
